tool,project,stmt_pct,branch_pct,line_branch_pct,pkg_stmt_pct,n_target_mods,syntax_pass,assertion_pass,assertion_error,time_s,total_tokens,prompt_tokens,completion_tokens
marta,PySnooper,43.80165289256198,25.0,38.8719512195122,44.60285132382892,4,435,25,410,2166.8208940029144,1692740,1534908,157832
marta,ansible,15.021174737617383,2.7673271465596523,11.274158911954187,11.448615568325994,237,9782,387,9395,52803.68199491501,45025836,40782704,4243132
marta,apimd,33.00970873786408,14.333333333333334,26.134969325153374,34.038800705467374,2,340,14,326,1653.502449274063,1185795,1062281,123514
marta,black,,,,0.0,,1081,46,1035,6431.978380203247,4991484,4459944,531540
marta,codetiming,75.0,50.0,69.23076923076923,63.75,1,75,4,71,552.7601089477539,301918,266981,34937
marta,cookiecutter,37.06896551724138,22.321428571428573,32.26744186046512,16.706443914081145,5,125,11,114,813.9865326881409,482835,426139,56696
marta,dataclasses-json,47.52136752136752,30.37037037037037,42.10526315789474,50.742240215924426,4,461,38,423,2726.0901741981506,1821837,1589941,231896
marta,docstring_parser,44.329896907216494,13.194444444444445,35.902255639097746,19.166666666666668,5,271,8,263,1463.0243926048279,956424,836233,120191
marta,flutes,87.6,73.2394366197183,82.39795918367346,42.45810055865922,3,270,26,244,1461.7542543411255,994309,885359,108950
marta,flutils,9.005376344086022,6.176470588235294,8.118081180811808,17.10007880220646,9,757,3,754,4524.572028398514,3465723,3068932,396791
marta,httpie,40.18445322793149,12.237093690248566,33.023027927486524,41.26669965363681,19,1248,29,1219,6456.383785009384,4851128,4316908,534220
marta,isort,79.05405405405405,38.46153846153846,72.98850574712644,22.336647727272727,2,161,11,150,927.0524678230286,540091,476308,63783
marta,mimesis,60.08968609865471,34.73053892215569,54.24430641821946,64.06007250129467,18,1293,39,1254,5941.488550901413,5071014,4625918,445096
marta,py-backwards,41.29213483146067,14.285714285714286,34.82905982905983,43.369175627240146,19,717,7,710,4048.8312771320343,2663685,2297973,365712
marta,pyMonet,80.54298642533936,60.483870967741936,76.14840989399293,80.54298642533936,10,678,96,582,3000.24960398674,2373745,2164938,208807
marta,pypara,66.02031394275161,32.57142857142857,61.36724960254372,72.1097322011757,6,1965,35,1930,10014.163036584854,6590512,5684164,906348
marta,python-semantic-release,61.79245283018868,27.906976744186046,56.07843137254902,24.048442906574394,6,395,29,366,2136.431763648987,1238882,1062428,176454
marta,python-string-utils,89.57816377171216,85.625,88.45470692717585,90.51918735891648,3,273,51,222,1334.828541278839,933656,835389,98267
marta,pytutils,44.78764478764479,25.0,40.483383685800604,16.835994194484762,9,599,15,584,3031.9337632656097,2154843,1923567,231276
marta,sanic,50.93167701863354,28.213166144200628,44.48398576512456,34.45353594389246,10,721,25,696,4381.026662349701,3269459,2910931,358528
marta,sty,75.75757575757575,63.04347826086956,71.72413793103448,88.18565400843882,2,90,7,83,436.66208958625793,321592,287290,34302
marta,thefuck,50.77433628318584,22.265625,44.48275862068966,21.40449438202247,32,1113,39,1074,5095.925130844116,3638108,3233756,404352
