tool,project,status,score,killed,survived,timeout_mut,suspicious,total,green_tests,dropped,n_mut_files,err,hint
test4py_baseline,PySnooper,ok,81.84143222506394,320,71,0,0,391,24,0,4,,
test4py_baseline,apimd,ok,14.119922630560929,73,444,0,0,517,26,0,2,,
test4py_baseline,black,ok,16.094584286803965,211,1100,0,0,1311,93,0,6,,
test4py_baseline,codetiming,ok,20.0,5,20,0,0,25,5,0,1,,
test4py_baseline,cookiecutter,ok,5.7894736842105265,11,179,0,0,190,9,0,5,,
test4py_baseline,dataclasses-json,ok,19.875776397515526,96,385,2,0,483,15,0,4,,
test4py_baseline,docstring_parser,ok,31.274900398406373,157,345,0,0,502,8,0,5,,
test4py_baseline,flutes,ok,52.0,91,80,4,0,175,38,0,3,,
test4py_baseline,flutils,ok,44.31673052362707,347,434,2,0,783,44,0,9,,
test4py_baseline,httpie,ok,10.205479452054794,149,1311,0,0,1460,63,0,19,,
test4py_baseline,isort,ok,28.930817610062892,46,113,0,0,159,13,0,2,,
test4py_baseline,mimesis,ok,19.744744744744743,263,1065,4,0,1332,60,0,18,,
test4py_baseline,py-backwards,ok,3.622392974753019,33,878,0,0,911,29,0,19,,
test4py_baseline,pyMonet,ok,49.246231155778894,98,101,0,0,199,92,0,10,,
test4py_baseline,pypara,ok,32.26600985221675,262,550,0,0,812,72,0,6,,
test4py_baseline,python-semantic-release,ok,5.225653206650831,22,399,0,0,421,3,0,6,,
test4py_baseline,python-string-utils,ok,56.89655172413793,264,199,1,0,464,45,0,3,,
test4py_baseline,pytutils,ok,16.880733944954127,92,453,0,0,545,23,2,12,,
test4py_baseline,sanic,ok,13.37958374628345,135,874,0,0,1009,32,0,11,,
test4py_baseline,sty,ok,32.25806451612903,20,42,0,0,62,12,0,2,,
test4py_baseline,thefuck,ok,20.72409488139825,166,635,0,0,801,60,0,32,,
test4py_baseline,thonny,ok,5.555555555555555,48,816,0,0,864,30,0,3,,
test4py_baseline,tqdm,ok,8.433734939759036,49,532,0,0,581,20,0,9,,
test4py_baseline,typesystem,ok,22.18863361547763,367,1287,0,0,1654,71,0,10,,
test4py_baseline,tornado,ok,11.518937914877002,295,2265,1,0,2561,120,40,13,,
marta,PySnooper,ok,17.391304347826086,68,323,0,0,391,58,0,4,,
marta,ansible,partial,17.771084337349397,177,819,0,0,996,1653,0,237,,
marta,apimd,ok,12.959381044487428,67,450,0,0,517,32,0,2,,
marta,black,ok,21.96796338672769,288,1020,3,0,1311,103,0,6,,
marta,codetiming,ok,48.0,12,13,0,0,25,6,0,1,,
marta,cookiecutter,ok,13.157894736842104,25,165,0,0,190,26,0,5,,
marta,dataclasses-json,ok,17.805383022774325,86,397,0,0,483,39,0,4,,
marta,docstring_parser,ok,11.752988047808765,59,443,0,0,502,22,0,5,,
marta,flutes,ok,54.285714285714285,95,76,4,0,175,31,0,3,,
marta,flutils,ok,46.74329501915709,366,415,2,0,783,63,0,9,,
marta,httpie,ok,9.184372858122002,134,1325,0,0,1459,72,0,19,,
marta,isort,ok,34.59119496855346,55,103,1,0,159,17,0,2,,
marta,mimesis,ok,21.396396396396398,285,1046,1,0,1332,147,0,18,,
marta,py-backwards,ok,3.1833150384193196,29,882,0,0,911,24,0,19,,
marta,pyMonet,ok,51.256281407035175,102,97,0,0,199,138,0,10,,
marta,pypara,ok,29.064039408866996,236,576,0,0,812,102,0,6,,
marta,python-semantic-release,ok,21.140142517814727,89,332,0,0,421,50,0,6,,
marta,python-string-utils,ok,70.6896551724138,328,134,2,0,464,79,0,3,,
marta,pytutils,ok,19.81651376146789,108,437,0,0,545,35,0,12,,
marta,sanic,ok,18.731417244796827,189,820,0,0,1009,39,0,11,,
marta,sty,ok,41.935483870967744,26,36,0,0,62,23,0,2,,
marta,thefuck,ok,26.841448189762797,215,586,0,0,801,83,0,32,,
marta,thonny,ok,3.4722222222222223,30,834,0,0,864,24,0,3,,
marta,tornado,ok,14.135103475204998,362,2186,13,0,2561,197,0,13,,
marta,tqdm,ok,9.63855421686747,56,525,0,0,581,17,0,9,,
marta,typesystem,ok,23.639661426844015,391,1263,0,0,1654,128,0,10,,
marta,youtube-dl,ok,7.442788158723493,709,8816,1,0,9526,120,0,35,,
test4py_baseline,ansible,run_error,,0,0,0,0,0,1161,0,237,TypeError: 'tuple' object is not callable,
test4py_baseline,youtube-dl,ok,2.6373397268841865,253,9340,0,0,9593,89,0,35,,
pynguin,PySnooper,ok,12.787723785166241,50,340,1,0,391,3,0,4,,
pynguin,ansible,partial,74.13526071244192,1436,501,0,0,1937,205,7,237,,
pynguin,apimd,ok,11.411992263056092,59,458,0,0,517,1,0,2,,
pynguin,black,no_green_tests,,,,,,,,,,,
pynguin,codetiming,ok,48.0,12,13,0,0,25,1,0,1,,
pynguin,cookiecutter,ok,10.0,19,171,0,0,190,5,0,5,,
pynguin,dataclasses-json,ok,3.7267080745341614,18,465,0,0,483,3,0,4,,
pynguin,docstring_parser,no_green_tests,,,,,,,,,,,
pynguin,flutes,ok,29.714285714285715,52,121,2,0,175,2,0,3,,
pynguin,flutils,ok,9.195402298850574,72,711,0,0,783,5,0,9,,
pynguin,httpie,ok,20.781893004115226,303,1155,0,0,1458,17,0,19,,
pynguin,isort,ok,35.22012578616352,56,103,0,0,159,2,0,2,,
pynguin,mimesis,ok,27.92792792792793,372,959,1,0,1332,14,0,18,,
pynguin,py-backwards,ok,3.402854006586169,31,880,0,0,911,6,0,19,,
pynguin,pyMonet,ok,44.72361809045226,89,110,0,0,199,10,0,10,,
pynguin,pypara,ok,10.344827586206897,84,728,0,0,812,5,0,6,,
pynguin,python-semantic-release,ok,17.577197149643705,74,319,25,3,421,5,0,6,,
pynguin,python-string-utils,ok,58.62068965517241,272,190,2,0,464,3,0,3,,
pynguin,pytutils,ok,4.220183486238532,23,522,0,0,545,7,0,12,,
pynguin,sanic,ok,23.984142715559962,242,767,0,0,1009,9,0,11,,
pynguin,sty,ok,50.0,31,31,0,0,62,2,0,2,,
pynguin,thefuck,ok,12.234706616729088,98,703,0,0,801,21,0,32,,
pynguin,thonny,ok,17.01388888888889,147,712,5,0,864,3,0,3,,
pynguin,tornado,ok,6.833268254588051,175,2385,1,0,2561,5,0,13,,
pynguin,tqdm,ok,6.540447504302926,38,543,0,0,581,6,0,9,,
pynguin,typesystem,ok,40.195479535736105,658,979,0,0,1637,6,0,10,,
pynguin,youtube-dl,partial,29.217148182665426,1254,3038,0,0,4292,19,0,35,,
