tool,project,status,score,killed,survived,timeout_mut,suspicious,total,green_tests,dropped,n_mut_files
test4py_baseline,PySnooper,ok,81.84143222506394,320,71,0,0,391,24,0,4
test4py_baseline,ansible,suite_not_green,,,,,,,1274,,237
test4py_baseline,apimd,ok,,0,0,0,0,0,26,0,2
test4py_baseline,black,ok,16.094584286803965,211,1100,0,0,1311,93,0,6
test4py_baseline,codetiming,ok,20.0,5,20,0,0,25,5,0,1
test4py_baseline,cookiecutter,ok,5.7894736842105265,11,179,0,0,190,9,0,5
test4py_baseline,dataclasses-json,ok,19.875776397515526,96,385,2,0,483,15,0,4
test4py_baseline,docstring_parser,ok,,0,0,0,0,0,8,0,5
test4py_baseline,flutes,ok,52.0,91,80,4,0,175,38,0,3
test4py_baseline,flutils,ok,44.31673052362707,347,434,2,0,783,44,0,9
test4py_baseline,httpie,ok,9.863013698630137,144,1316,0,0,1460,63,0,19
test4py_baseline,isort,ok,28.930817610062892,46,113,0,0,159,13,0,2
test4py_baseline,mimesis,ok,20.645645645645647,275,1053,4,0,1332,60,1,18
test4py_baseline,py-backwards,ok,3.622392974753019,33,878,0,0,911,29,0,19
test4py_baseline,pyMonet,ok,49.246231155778894,98,101,0,0,199,92,0,10
test4py_baseline,pypara,ok,32.26600985221675,262,550,0,0,812,72,0,6
test4py_baseline,python-semantic-release,ok,5.225653206650831,22,399,0,0,421,3,0,6
test4py_baseline,python-string-utils,ok,56.89655172413793,264,199,1,0,464,45,0,3
test4py_baseline,pytutils,ok,,0,0,0,0,0,23,3,12
test4py_baseline,sanic,ok,13.37958374628345,135,874,0,0,1009,32,0,11
test4py_baseline,sty,ok,32.25806451612903,20,42,0,0,62,12,0,2
test4py_baseline,thefuck,ok,20.474406991260924,164,637,0,0,801,59,0,32
test4py_baseline,thonny,ok,,0,0,0,0,0,30,0,3
test4py_baseline,tornado,ok,,0,0,0,0,0,120,40,13
test4py_baseline,tqdm,partial,14.027149321266968,31,190,0,0,221,20,0,9
test4py_baseline,typesystem,ok,22.18863361547763,367,1287,0,0,1654,71,0,10
test4py_baseline,youtube-dl,partial,6.165703275529865,64,974,0,0,1038,89,0,35
