tool,project,status,score,killed,total,n_mod,n_tests,modules_partial,modules_no_tests
marta,codetiming,ok,48.0,12,25,1,6,0,0
marta,sty,ok,41.935483870967744,26,62,2,23,0,0
test4py_baseline,codetiming,ok,20.0,5,25,1,5,0,0
test4py_baseline,sty,ok,32.25806451612903,20,62,2,12,0,1
pynguin,codetiming,ok,48.0,12,25,1,1,0,0
pynguin,sty,ok,30.64516129032258,19,62,2,2,0,0
marta,PySnooper,ok,15.601023017902813,61,391,4,58,0,0
marta,ansible,ok,5.164582350165173,1751,33904,237,3077,0,2
marta,apimd,ok,11.60541586073501,60,517,2,35,0,0
marta,black,ok,18.993135011441648,249,1311,6,103,0,1
marta,cookiecutter,ok,13.157894736842104,25,190,5,27,0,1
marta,dataclasses-json,ok,16.977225672877847,82,483,4,39,0,0
marta,docstring_parser,ok,10.95617529880478,55,502,5,22,0,1
marta,flutes,ok,54.285714285714285,95,175,3,31,0,0
marta,flutils,ok,45.466155810983395,356,783,9,66,0,0
marta,httpie,ok,8.904109589041095,130,1460,19,72,0,2
marta,isort,ok,34.59119496855346,55,159,2,17,0,0
marta,mimesis,ok,16.966966966966968,226,1332,18,149,0,2
marta,py-backwards,ok,1.646542261251372,15,911,19,24,0,8
marta,pyMonet,ok,49.246231155778894,98,199,10,138,0,0
marta,pypara,ok,28.694581280788178,233,812,6,102,0,1
marta,python-semantic-release,ok,20.42755344418052,86,421,6,50,0,0
marta,python-string-utils,ok,68.31896551724138,317,464,3,79,0,0
marta,pytutils,ok,19.81651376146789,108,545,12,35,0,2
marta,sanic,ok,16.154608523290385,163,1009,11,50,0,1
marta,thefuck,ok,25.84269662921348,207,801,32,83,0,9
marta,thonny,ok,3.4722222222222223,30,864,3,24,0,0
marta,tornado,ok,16.346790205162144,247,1511,13,199,7,0
marta,tqdm,ok,9.63855421686747,56,581,9,17,0,2
marta,typesystem,ok,23.035066505441353,381,1654,10,128,0,2
marta,youtube-dl,ok,7.223264540337711,693,9594,35,120,0,16
test4py_baseline,PySnooper,ok,60.869565217391305,238,391,4,24,0,0
test4py_baseline,ansible,ok,4.801793298725814,1628,33904,237,1890,0,40
test4py_baseline,apimd,ok,13.733075435203094,71,517,2,27,0,0
test4py_baseline,black,ok,16.094584286803965,211,1311,6,93,0,1
test4py_baseline,cookiecutter,ok,5.7894736842105265,11,190,5,14,0,2
test4py_baseline,dataclasses-json,ok,18.840579710144926,91,483,4,15,0,2
test4py_baseline,docstring_parser,ok,10.756972111553784,54,502,5,8,0,3
test4py_baseline,flutes,ok,52.0,91,175,3,38,0,1
test4py_baseline,flutils,ok,44.18901660280971,346,783,9,45,0,0
test4py_baseline,httpie,ok,9.210526315789474,119,1292,19,63,1,6
test4py_baseline,isort,ok,28.930817610062892,46,159,2,13,0,0
test4py_baseline,mimesis,ok,12.837837837837839,171,1332,18,71,0,6
test4py_baseline,py-backwards,ok,2.305159165751921,21,911,19,29,0,12
test4py_baseline,pyMonet,ok,48.24120603015076,96,199,10,92,0,0
test4py_baseline,pypara,ok,31.896551724137932,259,812,6,72,0,2
test4py_baseline,python-semantic-release,ok,1.66270783847981,7,421,6,3,0,4
test4py_baseline,python-string-utils,ok,56.25,261,464,3,45,0,0
test4py_baseline,pytutils,ok,15.779816513761467,86,545,12,26,0,4
test4py_baseline,sanic,ok,12.289395441030724,124,1009,11,101,0,0
test4py_baseline,thefuck,ok,18.352059925093634,147,801,32,60,0,20
test4py_baseline,thonny,ok,5.555555555555555,48,864,3,30,0,0
test4py_baseline,tornado,ok,11.636079656384226,298,2561,13,160,0,0
test4py_baseline,tqdm,ok,5.163511187607573,30,581,9,20,0,3
test4py_baseline,typesystem,ok,21.28174123337364,352,1654,10,72,0,3
test4py_baseline,youtube-dl,ok,2.4598707525536794,236,9594,35,95,0,25
pynguin,PySnooper,ok,9.974424552429667,39,391,4,3,0,1
pynguin,ansible,ok,3.8927566286476076,1314,33755,237,227,1,10
pynguin,apimd,ok,11.411992263056092,59,517,2,2,0,0
pynguin,black,ok,0.0,0,1311,6,6,0,0
pynguin,cookiecutter,ok,10.0,19,190,5,5,0,0
pynguin,dataclasses-json,ok,3.1055900621118013,15,483,4,3,0,1
pynguin,docstring_parser,ok,0.0,0,502,5,5,0,0
pynguin,flutes,ok,28.571428571428573,50,175,3,3,0,0
pynguin,flutils,ok,9.067688378033205,71,783,9,7,0,2
pynguin,httpie,ok,11.301369863013699,165,1460,19,19,0,0
pynguin,isort,ok,35.22012578616352,56,159,2,2,0,0
pynguin,mimesis,ok,23.573573573573572,314,1332,18,18,0,0
pynguin,py-backwards,ok,1.756311745334797,16,911,19,18,0,1
pynguin,pyMonet,ok,39.698492462311556,79,199,10,10,0,0
pynguin,pypara,ok,5.41871921182266,44,812,6,6,0,0
pynguin,python-semantic-release,ok,14.014251781472684,59,421,6,6,0,0
pynguin,python-string-utils,ok,57.974137931034484,269,464,3,3,0,0
pynguin,pytutils,ok,3.4862385321100917,19,545,12,10,0,2
pynguin,sanic,ok,21.902874132804758,221,1009,11,9,0,2
pynguin,thefuck,ok,11.985018726591761,96,801,32,30,0,2
pynguin,thonny,ok,17.01388888888889,147,864,3,3,0,0
pynguin,tornado,ok,5.97422881686841,153,2561,13,8,0,5
pynguin,tqdm,ok,6.024096385542169,35,581,9,6,0,3
pynguin,typesystem,ok,35.67110036275695,590,1654,10,9,0,1
pynguin,youtube-dl,ok,17.53179070252241,1682,9594,35,35,0,0
