project,status,stmt_pct,branch_pct,n_target_matched,n_target_total,n_tests
PySnooper,ok,43.18181818181818,22.093023255813954,4,4,3
ansible,ok,41.635058000368254,23.342529888805284,237,237,227
apimd,ok,35.922330097087375,18.666666666666668,2,2,2
black,no_target_match,,,0,6,6
codetiming,ok,100.0,100.0,1,1,1
cookiecutter,timeout,,,0,5,5
dataclasses-json,ok,35.72649572649573,12.592592592592593,4,4,3
docstring_parser,ok,50.77319587628866,24.305555555555557,5,5,5
flutes,ok,86.8,57.04225352112676,3,3,3
flutils,ok,38.575268817204304,27.352941176470587,9,9,7
httpie,ok,52.83267457180501,21.606118546845124,19,19,19
isort,ok,93.24324324324324,76.92307692307692,2,2,2
mimesis,ok,93.72197309417041,85.92814371257485,18,18,18
py-backwards,ok,48.87640449438202,19.642857142857142,19,19,18
pyMonet,ok,93.43891402714932,73.38709677419355,10,10,10
pypara,ok,69.15974145891043,16.571428571428573,6,6,6
python-semantic-release,ok,60.84905660377358,39.53488372093023,6,6,6
python-string-utils,ok,91.06699751861042,86.875,3,3,3
pytutils,ok,58.68725868725869,45.833333333333336,9,12,10
sanic,ok,54.161490683229815,33.85579937304075,10,11,9
sty,ok,93.93939393939394,91.30434782608695,2,2,2
thefuck,ok,49.889380530973455,18.75,32,32,30
thonny,ok,24.344569288389515,7.589285714285714,3,3,3
tornado,ok,48.87247278382581,29.40563086548488,13,13,8
tqdm,ok,34.65346534653465,21.153846153846153,7,9,6
typesystem,ok,71.26760563380282,57.709251101321584,10,10,9
youtube-dl,ok,31.745235707121363,8.971704623878537,35,35,35
