tool,project,status,stmt_pct,branch_pct,lb_pct,n_target_mods,n_tests,batches_failed
marta,PySnooper,ok,59.917355371900825,44.18604651162791,55.792682926829265,4,92,0
marta,apimd,ok,84.27184466019418,78.66666666666667,82.20858895705521,2,64,0
marta,codetiming,ok,100.0,100.0,100.0,1,14,0
marta,cookiecutter,ok,60.3448275862069,51.785714285714285,57.55813953488372,5,29,0
marta,dataclasses-json,ok,73.16239316239316,58.51851851851852,68.53801169590643,4,76,0
marta,docstring_parser,ok,91.49484536082474,79.86111111111111,88.34586466165413,5,37,0
marta,flutes,ok,91.2,68.30985915492958,82.90816326530613,3,42,0
marta,isort,ok,82.0,57.69230769230769,78.4090909090909,2,36,0
marta,python-string-utils,ok,90.3225806451613,87.5,89.52042628774423,3,79,0
marta,sty,ok,73.73737373737374,58.69565217391305,68.96551724137932,2,17,0
test4py_baseline,PySnooper,ok,40.49586776859504,20.930232558139537,35.36585365853659,4,31,0
test4py_baseline,ansible,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,apimd,ok,65.24271844660194,54.666666666666664,61.34969325153374,2,32,0
test4py_baseline,black,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,codetiming,ok,100.0,100.0,100.0,1,11,0
test4py_baseline,cookiecutter,ok,31.896551724137932,16.071428571428573,26.74418604651163,5,11,0
test4py_baseline,dataclasses-json,ok,68.37606837606837,52.22222222222222,63.27485380116959,4,40,0
test4py_baseline,docstring_parser,ok,81.44329896907216,61.111111111111114,75.93984962406014,5,22,0
test4py_baseline,flutes,ok,78.8,52.11267605633803,69.13265306122449,3,28,0
test4py_baseline,flutils,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,httpie,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,isort,ok,84.66666666666667,69.23076923076923,82.38636363636364,2,17,0
test4py_baseline,mimesis,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,py-backwards,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,pyMonet,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,pypara,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,python-semantic-release,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,python-string-utils,ok,76.42679900744417,61.25,72.11367673179396,3,47,0
test4py_baseline,pytutils,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,sanic,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,sty,ok,86.86868686868686,78.26086956521739,84.13793103448276,2,11,0
test4py_baseline,thefuck,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,thonny,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,tornado,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,tqdm,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,typesystem,no_tests,0.0,0.0,0.0,0,0,0
test4py_baseline,youtube-dl,no_tests,0.0,0.0,0.0,0,0,0
