tool,project,status,score,killed,total,n_mod,n_tests,modules_partial,modules_no_tests
marta,PySnooper,ok,38.36317135549872,150,391,4,92,0,0
marta,apimd,ok,48.355899419729205,250,517,2,64,0,0
marta,codetiming,ok,84.0,21,25,1,14,0,0
marta,cookiecutter,ok,38.421052631578945,73,190,5,29,0,0
marta,dataclasses-json,ok,40.57971014492754,196,483,4,76,0,0
marta,docstring_parser,ok,49.601593625498005,249,502,5,37,0,0
marta,flutes,ok,63.42857142857143,111,175,3,42,0,0
marta,isort,ok,45.911949685534594,73,159,2,36,0,0
marta,python-string-utils,ok,76.9396551724138,357,464,3,79,0,0
marta,sty,ok,54.83870967741935,34,62,2,17,0,0
test4py_baseline,PySnooper,ok,33.248081841432224,130,391,4,31,0,0
test4py_baseline,ansible,ok,0.0,0,28916,237,0,17,220
test4py_baseline,apimd,ok,40.61895551257253,210,517,2,32,0,0
test4py_baseline,black,ok,0.0,0,1311,6,0,0,6
test4py_baseline,codetiming,ok,84.0,21,25,1,11,0,0
test4py_baseline,cookiecutter,ok,12.631578947368421,24,190,5,11,0,2
test4py_baseline,dataclasses-json,ok,31.469979296066253,152,483,4,40,0,0
test4py_baseline,docstring_parser,ok,42.23107569721115,212,502,5,22,0,1
test4py_baseline,flutes,ok,46.857142857142854,82,175,3,28,0,0
test4py_baseline,flutils,ok,0.0,0,783,9,0,0,9
test4py_baseline,httpie,ok,0.0,0,1460,19,0,0,19
test4py_baseline,isort,ok,59.119496855345915,94,159,2,17,0,0
test4py_baseline,mimesis,ok,0.0,0,1332,18,0,0,18
test4py_baseline,py-backwards,ok,0.0,0,911,19,0,0,19
test4py_baseline,pyMonet,ok,0.0,0,199,10,0,0,10
test4py_baseline,pypara,ok,0.0,0,812,6,0,0,6
test4py_baseline,python-semantic-release,ok,0.0,0,421,6,0,0,6
test4py_baseline,python-string-utils,ok,63.36206896551724,294,464,3,47,0,0
test4py_baseline,pytutils,ok,0.0,0,545,12,0,0,12
test4py_baseline,sanic,ok,0.0,0,1009,11,0,0,11
test4py_baseline,sty,ok,70.96774193548387,44,62,2,11,0,0
test4py_baseline,thefuck,ok,0.0,0,801,32,0,0,32
test4py_baseline,thonny,ok,0.0,0,864,3,0,0,3
test4py_baseline,tornado,ok,0.0,0,2561,13,0,0,13
test4py_baseline,tqdm,ok,0.0,0,581,9,0,0,9
test4py_baseline,typesystem,ok,0.0,0,1654,10,0,0,10
test4py_baseline,youtube-dl,ok,0.0,0,9594,35,0,0,35
